SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
RDAXFDDG,Reliance Mutual Fund - Reliance Dual Advantage Fixed Tenure Fund  Seri,MF,13-FEB-2017,10,1,INF204KB1GX4,10
RDAXFDG,Reliance Mutual Fund - Reliance Dual Advantage Fixed Tenure Fund  Seri,MF,13-FEB-2017,10,1,INF204KB1GZ9,10
RDAXIADD,Reliance Mutual Fund - Reliance Dual Advantage FTF XI Plan A - DPO,MF,08-MAY-2017,10,1,INF204KB1JW0,10
RDAXIADDD,Reliance Mutual Fund - Reliance Dual Advantage FTF XI Plan A - DPDPO,MF,08-MAY-2017,10,1,INF204KB1JU4,10
RDAXIADDG,Reliance Mutual Fund - Reliance Dual Advantage FTF XI Plan A - DPGO,MF,08-MAY-2017,10,1,INF204KB1JV2,10
RDAXIADG,Reliance Mutual Fund - Reliance Dual Advantage FTF XI Plan A - GO,MF,08-MAY-2017,10,1,INF204KB1JX8,10
RDAXIBDD,Reliance Mutual Fund - Reliance Dual Advtg FTF XI Sr XI Plan B - DPO,MF,15-JUN-2017,10,1,INF204KB1NK7,10
RDAXIBDDD,Reliance Mutual Fund - Reliance Dual Advtg FTF XI Sr XI Plan B - DPDPO,MF,15-JUN-2017,10,1,INF204KB1NI1,10
RDAXIBDDG,Reliance Mutual Fund - Reliance Dual Advtg FTF XI Sr XI Plan B - DPGO,MF,15-JUN-2017,10,1,INF204KB1NJ9,10
RDAXIBDG,Reliance Mutual Fund - Reliance Dual Advtg FTF XI Sr XI Plan B - GO,MF,15-JUN-2017,10,1,INF204KB1NL5,10
RDAXICDD,Reliance MF - Reliance Dual Advantage FTF XI Plan C - DPO,MF,24-JUL-2017,10,1,INF204KB1PW7,10
RDAXICDDD,Reliance MF - Reliance Dual Advantage FTF XI Plan C - DP - DPO,MF,24-JUL-2017,10,1,INF204KB1PU1,10
RDAXICDDG,Reliance MF - Reliance Dual Advantage FTF XI Plan C - DP - GO,MF,24-JUL-2017,10,1,INF204KB1PV9,10
RDAXICDG,Reliance MF - Reliance Dual Advantage FTF XI Plan C - GO,MF,24-JUL-2017,10,1,INF204KB1PX5,10
RDAXIDDD,Reliance Mutual Fund - Reliance Dual Advantage FTF XI Plan D-DPO,MF,28-AUG-2017,10,1,INF204KB1QV7,10
RDAXIDDDD,Reliance Mutual Fund - Reliance Dual Advantage FTF XI Plan D-DPDPO,MF,28-AUG-2017,10,1,INF204KB1QT1,10
RDAXIDDDG,Reliance Mutual Fund - Reliance Dual Advantage FTF XI Plan D-DPGO,MF,28-AUG-2017,10,1,INF204KB1QU9,10
RDAXIDDG,Reliance Mutual Fund - Reliance Dual Advantage FTF XI Plan D-GO,MF,28-AUG-2017,10,1,INF204KB1QW5,10
RDAXIEDD,Reliance Mutual Fund - Reliance Dual Advantage Fixed Tenure Fund XI (P,MF,04-OCT-2017,10,1,INF204KB1RM4,10
RDAXIEDDD,Reliance Mutual Fund - Reliance Dual Advantage Fixed Tenure Fund XI (P,MF,04-OCT-2017,10,1,INF204KB1RK8,10
RDAXIEDDG,Reliance Mutual Fund - Reliance Dual Advantage Fixed Tenure Fund XI (P,MF,04-OCT-2017,10,1,INF204KB1RL6,10
RDAXIEDG,Reliance Mutual Fund - Reliance Dual Advantage Fixed Tenure Fund XI (P,MF,04-OCT-2017,10,1,INF204KB1RN2,10
RDAXIIADD,Reliance Mutual Fund - Reliance Dual Advantage FTF XII Plan A-DPO,MF,16-JAN-2018,10,1,INF204KB1TM0,10
RDAXIIADDD,Reliance Mutual Fund - Reliance Dual Advantage FTF XII Plan A-DPDPO,MF,16-JAN-2018,10,1,INF204KB1TK4,10
RDAXIIADDG,Reliance Mutual Fund - Reliance Dual Advantage FTF XII Plan A-DPGO,MF,16-JAN-2018,10,1,INF204KB1TL2,10
RDAXIIADG,Reliance Mutual Fund - Reliance Dual Advantage FTF XII Plan A-GO,MF,16-JAN-2018,10,1,INF204KB1TN8,10
RLDDDG,Sundaram MF - Sundaram Fixed Term Plan DD - DP-GO,MF,04-MAR-2015,10,1,INF903J012F2,10
RLDDRG,Sundaram MF - Sundaram Fixed Term Plan DD - RP-GO,MF,04-MAR-2015,10,1,INF903J010F6,10
RLDODG,Sundaram Mutual Fund - Sundaram Fixed Term Plan - DO - DP-GO,MF,13-AUG-2014,10,1,INF903J01Q73,10
RLDORG,Sundaram Mutual Fund - Sundaram Fixed Term Plan-DO - RP-GO,MF,13-AUG-2014,10,1,INF903J01Q40,10
RLDPDG,Sundaram MF - Sundaram Fixed Term Plan DP - DP-GO,MF,24-AUG-2015,10,1,INF903J019T8,10
RLDPRG,Sundaram MF - Sundaram Fixed Term Plan DP - RP-GO,MF,24-AUG-2015,10,1,INF903J016T4,10
RLDPRHD,Sundaram MF - Sundaram Fixed Term Plan DP - RP-HYDPO,MF,24-AUG-2015,10,1,INF903J018T0,10
